location,Grigy,Grigy,Grigy,Grigy,Grigy,Grigy
lat,49.00000,49.00000,49.00000,49.00000,49.00000,49.00000
lon,6.25000,6.25000,6.25000,6.25000,6.25000,6.25000
asl,234.408,234.408,234.408,234.408,234.408,234.408
variable,Temperature,Wind Speed,Wind Direction,Cloud Cover Total,Direct Shortwave Radiation,Diffuse Shortwave Radiation
unit,°C,km/h,°,%,W/m²,W/m²
level,2 m elevation corrected,10 m,10 m,sfc,sfc,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Grigy Temperature [2 m elevation corrected],Grigy Wind Speed [10 m],Grigy Wind Direction [10 m],Grigy Cloud Cover Total,Grigy Direct Shortwave Radiation,Grigy Diffuse Shortwave Radiation
20190105T0900,1.1316547,14.934577,285.37625,97.0,0.0,0.0
20190105T1000,1.4316548,15.542662,283.39252,93.0,0.0,2.0
20190105T1100,1.9816548,16.327497,284.03625,100.0,2.0,24.0
20190105T1200,2.7916546,15.226764,276.78897,100.0,0.0,35.0
20190105T1300,3.4416547,17.106628,278.47116,100.0,0.0,38.0
20190105T1400,4.091655,16.946787,282.26477,100.0,0.0,55.0
20190105T1500,4.6116548,16.179985,290.85446,94.0,12.0,59.0
20190105T1600,4.8716545,16.485485,301.6075,96.0,4.0,35.0
20190105T1700,5.1016545,14.512064,299.74487,90.0,2.0,20.0
20190105T1800,5.071655,14.654254,297.8241,91.0,1.0,4.0
20190105T1900,4.841655,15.683774,301.866,96.0,0.0,0.0
20190105T2000,4.6716547,16.279802,305.09583,94.0,0.0,0.0
20190105T2100,4.451655,16.279802,305.09583,99.0,0.0,0.0
20190105T2200,4.0216546,15.683774,301.866,98.0,0.0,0.0
20190105T2300,3.7316546,15.629971,298.92645,97.0,0.0,0.0
20190106T0000,3.5916548,13.854155,294.56717,87.0,0.0,0.0
20190106T0100,3.5316546,13.708391,293.1986,98.0,0.0,0.0
20190106T0200,3.4216547,14.81259,295.94232,99.0,0.0,0.0
20190106T0300,3.3716547,15.2947035,296.56506,96.0,0.0,0.0
20190106T0400,3.1916547,15.1884165,301.42957,93.0,0.0,0.0
20190106T0500,2.8616548,14.982228,305.2176,81.0,0.0,0.0
20190106T0600,2.7916546,14.904173,307.1467,82.0,0.0,0.0
20190106T0700,2.6716547,14.689588,306.02737,82.0,0.0,0.0
20190106T0800,2.5416546,13.392774,306.25385,81.0,0.0,0.0
20190106T0900,2.5316546,11.983188,302.73523,72.0,0.0,0.0
20190106T1000,2.5616548,11.91812,295.0169,75.0,0.0,3.0
20190106T1100,2.7516546,13.527572,295.2011,76.0,17.0,27.0
20190106T1200,3.2816546,14.264361,312.9546,99.0,42.0,49.0
20190106T1300,3.5816548,12.599998,306.8699,100.0,23.0,78.0
20190106T1400,3.7616546,13.104198,307.1847,100.0,10.0,69.0
20190106T1500,3.9316547,12.819235,308.15723,100.0,3.0,64.0
20190106T1600,4.091655,10.685391,302.61926,89.0,0.0,44.0
20190106T1700,4.091655,9.339208,297.55283,89.0,1.0,25.0
20190106T1800,3.9816546,8.089993,290.85446,79.0,1.0,5.0
20190106T1900,3.7416546,7.289444,290.22485,67.0,0.0,0.0
20190106T2000,3.5416546,8.373386,295.46335,80.0,0.0,0.0
20190106T2100,3.3516548,8.373386,295.46335,88.0,0.0,0.0
20190106T2200,3.2016547,7.8954163,294.22775,90.0,0.0,0.0
20190106T2300,3.0316546,7.42159,292.83368,91.0,0.0,0.0
20190107T0000,2.5316546,6.638072,282.5288,80.0,0.0,0.0
20190107T0100,1.8516548,6.924738,278.97263,77.0,0.0,0.0
20190107T0200,1.8616549,6.489992,289.44003,78.0,0.0,0.0
20190107T0300,2.0416548,6.297428,300.96375,85.0,0.0,0.0
20190107T0400,2.1616547,4.829907,296.56506,94.0,0.0,0.0
20190107T0500,1.9816548,4.6938257,302.4712,86.0,0.0,0.0
20190107T0600,2.2816546,5.3517847,317.72632,90.0,0.0,0.0
20190107T0700,2.1816547,5.1165614,320.7106,87.0,0.0,0.0
20190107T0800,2.3216548,4.8965297,306.02737,85.0,0.0,0.0
20190107T0900,2.1516547,6.6087217,299.35776,96.0,0.0,0.0
20190107T1000,2.1916547,4.0249224,296.56506,97.0,0.0,4.0
20190107T1100,2.6516547,5.634891,296.56506,98.0,8.0,34.0
20190107T1200,3.4716547,8.161764,311.42368,91.0,40.0,68.0
20190107T1300,3.9616547,6.763786,295.2011,96.0,34.0,92.0
20190107T1400,4.591655,8.654986,286.92752,62.0,25.0,99.0
20190107T1500,5.0016546,9.793058,287.10272,94.0,29.0,94.0
20190107T1600,5.091655,10.390226,284.03625,96.0,19.0,63.0
20190107T1700,4.8616548,9.422101,276.58194,97.0,5.0,40.0
20190107T1800,4.571655,8.209263,254.74487,96.0,2.0,8.0
20190107T1900,4.3516545,10.086427,235.1755,99.0,0.0,0.0
20190107T2000,4.2516546,12.768586,229.57393,100.0,0.0,0.0
20190107T2100,4.2116547,15.815435,228.69138,100.0,0.0,0.0
20190107T2200,4.1916547,18.0,233.1301,100.0,0.0,0.0
20190107T2300,4.261655,20.172853,235.1755,100.0,0.0,0.0
20190108T0000,4.5016546,20.808498,239.88626,99.0,0.0,0.0
20190108T0100,4.551655,21.767351,235.7843,99.0,0.0,0.0
20190108T0200,4.6916547,23.979893,234.16235,100.0,0.0,0.0
20190108T0300,4.931655,24.66197,236.30994,100.0,0.0,0.0
20190108T0400,5.1616545,25.567604,237.65256,100.0,0.0,0.0
20190108T0500,5.4616547,26.576681,245.17065,100.0,0.0,0.0
20190108T0600,5.8816547,25.872454,248.79077,100.0,0.0,0.0
20190108T0700,6.181655,23.510508,258.518,100.0,0.0,0.0
20190108T0800,6.3616548,20.957443,274.92712,100.0,0.0,0.0
20190108T0900,5.9616547,20.60823,289.38452,59.0,0.0,0.0
20190108T1000,5.6516547,18.671474,289.13367,64.0,0.0,2.0
20190108T1100,5.6916547,20.60823,289.38452,44.0,4.0,43.0
20190108T1200,5.8716545,18.228943,279.09027,56.0,27.0,84.0
20190108T1300,6.2316546,21.626984,272.8624,45.0,76.0,98.0
20190108T1400,6.5016546,24.74329,278.3659,37.0,173.0,80.0
20190108T1500,6.341655,24.36591,282.80426,39.0,146.0,93.0
20190108T1600,6.1016545,24.590923,287.90445,43.0,102.0,61.0
20190108T1700,6.0016546,23.4,292.61987,67.0,44.0,49.0
20190108T1800,5.301655,21.407139,289.6538,55.0,3.0,12.0
20190108T1900,5.2716546,22.930048,292.1355,47.0,0.0,0.0
20190108T2000,5.091655,22.73707,293.31772,45.0,0.0,0.0
20190108T2100,4.511655,20.945072,294.36246,57.0,0.0,0.0
20190108T2200,4.321655,21.575987,295.70996,44.0,0.0,0.0
20190108T2300,4.341655,21.2522,296.131,61.0,0.0,0.0
20190109T0000,4.3316545,16.862455,286.11343,41.0,0.0,0.0
20190109T0100,4.011655,19.914217,282.5288,36.0,0.0,0.0
20190109T0200,3.1516547,21.868332,290.22485,50.0,0.0,0.0
20190109T0300,2.5216546,22.218153,296.98022,53.0,0.0,0.0
20190109T0400,2.6616547,20.991426,300.96378,88.0,0.0,0.0
20190109T0500,2.7216547,20.570463,302.8557,81.0,0.0,0.0
20190109T0600,2.7716546,19.164717,298.00916,46.0,0.0,0.0
20190109T0700,2.8016548,19.64228,296.09543,46.0,0.0,0.0
20190109T0800,2.3616548,20.26899,303.40784,88.0,0.0,0.0
20190109T0900,2.2816546,19.107151,312.7094,57.0,0.0,0.0
20190109T1000,2.3616548,19.406637,319.514,82.0,0.0,4.0
20190109T1100,2.7516546,19.576189,327.77124,89.0,20.0,40.0
20190109T1200,3.3616548,16.78156,324.60522,22.0,86.0,68.0
20190109T1300,3.9616547,18.532135,330.94543,41.0,122.0,81.0
20190109T1400,4.2716546,20.771093,334.32318,39.0,176.0,84.0
20190109T1500,4.281655,22.59699,337.52057,22.0,124.0,83.0
20190109T1600,4.261655,23.806318,339.6468,35.0,122.0,74.0
20190109T1700,3.9716547,24.448214,346.37302,31.0,64.0,48.0
20190109T1800,3.3416548,19.586117,342.89728,24.0,10.0,13.0
20190109T1900,2.6416547,17.992796,340.11484,69.0,0.0,0.0
20190109T2000,2.5516548,17.902534,344.84595,43.0,0.0,0.0
20190109T2100,1.9816548,18.057508,355.4261,63.0,0.0,0.0
20190109T2200,2.3016548,16.93531,2.4366455,82.0,0.0,0.0
20190109T2300,2.0516548,16.215992,2.5447998,85.0,0.0,0.0
20190110T0000,2.2216547,16.23596,3.8140564,43.0,0.0,0.0
20190110T0100,1.5716548,12.605142,1.6365662,51.0,0.0,0.0
20190110T0200,1.4116548,12.979984,3.1798248,53.0,0.0,0.0
20190110T0300,1.3316548,15.188415,5.440323,76.0,0.0,0.0
20190110T0400,1.0716548,13.797912,7.4958496,89.0,0.0,0.0
20190110T0500,0.9816548,11.928989,5.194412,4.0,0.0,0.0
20190110T0600,0.7416548,10.446206,358.0251,1.0,0.0,0.0
20190110T0700,0.5916548,10.464798,356.0548,25.0,0.0,0.0
20190110T0800,0.4016548,10.464798,356.0548,79.0,0.0,0.0
20190110T0900,0.42165482,9.746631,355.7636,97.0,0.0,0.0
20190110T1000,0.2616548,9.726665,357.8789,99.0,0.0,3.0
20190110T1100,0.47165483,11.165805,1.8475952,99.0,3.0,32.0
20190110T1200,0.8216548,12.181625,18.970398,95.0,2.0,69.0
20190110T1300,1.1716548,12.074766,10.30484,100.0,5.0,107.0
20190110T1400,1.4516548,14.05845,2.935669,100.0,6.0,117.0
20190110T1500,1.7216548,14.05845,2.935669,99.0,14.0,107.0
20190110T1600,1.8516548,13.324863,1.5481567,98.0,24.0,99.0
20190110T1700,1.6116549,12.261158,3.3664398,62.0,13.0,56.0
20190110T1800,1.1916548,9.3876505,4.398697,40.0,7.0,12.0
20190110T1900,0.35165483,7.92,360.0,41.0,0.0,0.0
20190110T2000,0.1916548,7.9526596,5.194412,59.0,0.0,0.0
20190110T2100,-0.58834517,7.69592,10.7842865,90.0,0.0,0.0
20190110T2200,-1.2083452,7.072878,14.743561,97.0,0.0,0.0
20190110T2300,-1.1583452,5.937272,14.03624,98.0,0.0,0.0
20190111T0000,-0.6283452,5.04,360.0,98.0,0.0,0.0
20190111T0100,-0.85834515,4.3498964,335.55603,98.0,0.0,0.0
20190111T0200,-1.2683452,6.4096174,321.84277,97.0,0.0,0.0
20190111T0300,-1.5983452,6.297428,329.03625,99.0,0.0,0.0
20190111T0400,-1.5083451,5.495161,328.39252,99.0,0.0,0.0
20190111T0500,-1.1583452,6.1305785,310.23636,96.0,0.0,0.0
20190111T0600,-1.1183451,5.692099,304.69516,99.0,0.0,0.0
20190111T0700,-1.1383451,4.6800003,292.61987,96.0,0.0,0.0
20190111T0800,-0.86834514,4.452954,255.96376,99.0,0.0,0.0
20190111T0900,-0.98834515,6.4096174,231.84277,99.0,0.0,0.0
20190111T1000,-0.9083452,8.404285,226.73572,92.0,0.0,2.0
20190111T1100,-0.59834516,9.504272,232.69606,92.0,7.0,28.0
20190111T1200,-0.028345197,10.966713,246.8014,100.0,1.0,55.0
20190111T1300,0.04165481,10.990322,238.3925,98.0,1.0,53.0
20190111T1400,0.1316548,12.096214,233.47115,90.0,2.0,57.0
20190111T1500,0.2916548,13.849477,242.10274,98.0,0.0,60.0
20190111T1600,0.5016548,14.039999,247.38013,99.0,5.0,62.0
20190111T1700,0.53165483,14.003029,252.03087,99.0,0.0,34.0
20190111T1800,0.46165478,12.979984,250.55997,100.0,0.0,7.0
20190111T1900,0.5416548,13.32,251.07536,98.0,0.0,0.0
20190111T2000,0.71165484,13.570615,248.1986,99.0,0.0,0.0
20190111T2100,1.0816548,13.441071,249.62357,100.0,0.0,0.0
20190111T2200,1.4516548,13.358861,255.96376,100.0,0.0,0.0
20190111T2300,1.9716548,13.039754,263.65982,100.0,0.0,0.0
20190112T0000,2.2516546,13.363711,265.36453,100.0,0.0,0.0
20190112T0100,2.7816546,13.039754,263.65982,100.0,0.0,0.0
20190112T0200,3.1716547,13.004921,265.23636,100.0,0.0,0.0
20190112T0300,3.4716547,12.964998,268.40887,100.0,0.0,0.0
20190112T0400,3.7616546,12.605142,271.6366,100.0,0.0,0.0
20190112T0500,3.7616546,12.979984,273.17984,100.0,0.0,0.0
20190112T0600,3.8016548,13.324863,271.54816,100.0,0.0,0.0
20190112T0700,3.7516546,13.324863,268.45184,100.0,0.0,0.0
20190112T0800,3.8216548,14.404499,268.5679,100.0,0.0,0.0
20190112T0900,3.8616548,14.77755,267.2073,95.0,0.0,0.0
20190112T1000,3.7516546,14.685176,258.69006,95.0,0.0,3.0
20190112T1100,3.6716547,15.463246,245.22487,100.0,0.0,18.0
20190112T1200,3.8416548,17.654688,249.71744,100.0,2.0,45.0
20190112T1300,3.8716547,19.05281,247.79654,100.0,0.0,40.0
20190112T1400,4.1116548,20.056877,248.9625,99.0,0.0,63.0
20190112T1500,4.3816547,19.319628,243.43495,83.0,3.0,67.0
20190112T1600,4.4416547,22.565422,236.05641,93.0,0.0,58.0
20190112T1700,4.3716545,22.97522,234.56668,99.0,0.0,17.0
20190112T1800,4.3916545,23.86341,236.0702,100.0,0.0,3.0
